episode,return,epsilon,replay_size,steps
70,-144342.0,0.20657504999999998,64431,64431
71,-8868.0,0.20487565,65603,65603
72,1646.0,0.20421155,66061,66061
73,-7050.0,0.20224825,67415,67415
74,1782.0,0.20178135,67737,67737
75,1900.0,0.20148555,67941,67941
76,-16543.0,0.1993874,69388,69388
77,1675.0,0.19876535,69817,69817
78,-90896.0,0.19586535,71817,71817
79,1781.0,0.195397,72140,72140
80,1367.0,0.19432834999999998,72877,72877
81,-44015.0,0.1918358,74596,74596
82,1177.0,0.19049165,75523,75523
83,1179.0,0.1891504,76448,76448
84,1664.0,0.1885124,76888,76888
85,-10440.0,0.18743359999999998,77632,77632
86,-23314.0,0.1859575,78650,78650
87,-3492.0,0.1850933,79246,79246
88,-12133.0,0.18416965,79883,79883
89,-64296.0,0.18126965,81883,81883
